[train_v2] Device: cuda
[train_v2] transition=lstm hidden=512 layers=3 | epochs=1500 seq_len=40 lr=0.0005 batch=8
[train_v2] loss weights: recon=0.3 kl_dyn=1.0 kl_reg=0.005 free_bits=0.0 trans_mse=1.0
[train_v2] Loaded 9 cached feature sequences from data/features_cache_v2.pkl
[train_v2] feature stats set on 2435 frames (mean|14.114| std~74.016)
/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
[metrics] run 'world_model_v2_20260621_052133' → logs/world_model_v2_20260621_052133/

==================================================
WORLD MODEL v2 TRAINING (proper VAE)
==================================================
  Epoch  365/1500 | Loss 1.31510 | Best 1.15581 | recon 1.0496 | kl_dyn 0.0000 | kl_reg 0.0073
  Epoch  370/1500 | Loss 1.34934 | Best 1.15581 | recon 1.1441 | kl_dyn 0.0001 | kl_reg 0.0097
  Epoch  375/1500 | Loss 1.30607 | Best 1.15581 | recon 1.0083 | kl_dyn 0.0001 | kl_reg 0.0092
  Epoch  380/1500 | Loss 1.19334 | Best 1.15581 | recon 0.6337 | kl_dyn 0.0001 | kl_reg 0.0095
  Epoch  385/1500 | Loss 1.32171 | Best 1.15581 | recon 1.0836 | kl_dyn 0.0001 | kl_reg 0.0092
  Epoch  390/1500 | Loss 1.31745 | Best 1.15581 | recon 1.0728 | kl_dyn 0.0002 | kl_reg 0.0097
  Epoch  395/1500 | Loss 1.39797 | Best 1.15581 | recon 1.3265 | kl_dyn 0.0001 | kl_reg 0.0080
  Epoch  400/1500 | Loss 1.22188 | Best 1.15581 | recon 0.7524 | kl_dyn 0.0001 | kl_reg 0.0097
  Epoch  405/1500 | Loss 1.27070 | Best 1.15581 | recon 0.9169 | kl_dyn 0.0002 | kl_reg 0.0098
  Epoch  410/1500 | Loss 1.26560 | Best 1.15581 | recon 0.9327 | kl_dyn 0.0009 | kl_reg 0.0086
  Epoch  415/1500 | Loss 1.21398 | Best 1.15581 | recon 0.7182 | kl_dyn 0.0003 | kl_reg 0.0073
  Epoch  420/1500 | Loss 1.27781 | Best 1.15581 | recon 0.9081 | kl_dyn 0.0001 | kl_reg 0.0057
  Epoch  425/1500 | Loss 1.28824 | Best 1.13547 | recon 0.9867 | kl_dyn 0.0001 | kl_reg 0.0071
  Epoch  430/1500 | Loss 1.30113 | Best 1.13547 | recon 1.0233 | kl_dyn 0.0000 | kl_reg 0.0060
  Epoch  435/1500 | Loss 1.33620 | Best 1.13547 | recon 1.1053 | kl_dyn 0.0000 | kl_reg 0.0079
  Epoch  440/1500 | Loss 1.29110 | Best 1.13547 | recon 0.9709 | kl_dyn 0.0001 | kl_reg 0.0108
  Epoch  445/1500 | Loss 1.27091 | Best 1.13547 | recon 0.9047 | kl_dyn 0.0001 | kl_reg 0.0094
  Epoch  450/1500 | Loss 1.39037 | Best 1.13547 | recon 1.2775 | kl_dyn 0.0000 | kl_reg 0.0104
  Epoch  455/1500 | Loss 1.31005 | Best 1.13547 | recon 1.0374 | kl_dyn 0.0001 | kl_reg 0.0086
  Epoch  460/1500 | Loss 1.28166 | Best 1.13547 | recon 0.9577 | kl_dyn 0.0001 | kl_reg 0.0077
  Epoch  465/1500 | Loss 1.22262 | Best 1.13547 | recon 0.7489 | kl_dyn 0.0000 | kl_reg 0.0070
  Epoch  470/1500 | Loss 1.24019 | Best 1.13547 | recon 0.8259 | kl_dyn 0.0001 | kl_reg 0.0065
  Epoch  475/1500 | Loss 1.30536 | Best 1.13547 | recon 1.0158 | kl_dyn 0.0001 | kl_reg 0.0071
  Epoch  480/1500 | Loss 1.27399 | Best 1.13547 | recon 0.9188 | kl_dyn 0.0000 | kl_reg 0.0065
  Epoch  485/1500 | Loss 1.23334 | Best 1.13210 | recon 0.7588 | kl_dyn 0.0000 | kl_reg 0.0074
  Epoch  490/1500 | Loss 1.27013 | Best 1.13210 | recon 0.9066 | kl_dyn 0.0000 | kl_reg 0.0070
  Epoch  495/1500 | Loss 1.31720 | Best 1.13210 | recon 1.0364 | kl_dyn 0.0001 | kl_reg 0.0075
